test,database,use_pairs,dataset,corrected,accuracy
vgg_full,gfi,False,240x20,False,62.13 ± 2.37
vgg_full,gfi,False,240x20,True,61.69 ± 2.72
vgg_full,gfi,False,240x40,False,63.34 ± 2.64
vgg_full,gfi,False,240x40,True,61.89 ± 2.95
vgg_full,gfi,True,240x20,False,58.36 ± 2.84
vgg_full,gfi,True,240x20,True,56.39 ± 3.36
vgg_full,gfi,True,240x40,False,59.11 ± 3.10
vgg_full,gfi,True,240x40,True,55.99 ± 2.82
vgg_full,ndiris,False,240x20,False,59.90 ± 2.68
vgg_full,ndiris,False,240x40,False,60.13 ± 3.05
vgg_full,ndiris,True,240x20,False,56.54 ± 2.28
vgg_full,ndiris,True,240x40,False,57.18 ± 2.95
vgg_lsvm,gfi,False,240x20,False,63.97 ± 1.64
vgg_lsvm,gfi,False,240x20,True,62.79 ± 1.67
vgg_lsvm,gfi,False,240x40,False,65.43 ± 1.93
vgg_lsvm,gfi,False,240x40,True,62.01 ± 2.12
vgg_lsvm,gfi,True,240x20,False,58.72 ± 2.02
vgg_lsvm,gfi,True,240x20,True,56.42 ± 1.77
vgg_lsvm,gfi,True,240x40,False,60.62 ± 2.13
vgg_lsvm,gfi,True,240x40,True,56.96 ± 1.69
vgg_lsvm,ndiris,False,240x20,False,61.44 ± 2.71
vgg_lsvm,ndiris,False,240x40,False,61.10 ± 2.54
vgg_lsvm,ndiris,True,240x20,False,57.44 ± 2.82
vgg_lsvm,ndiris,True,240x40,False,57.25 ± 2.60
