test,removed_bins,database,dataset,formatted
vgg_full,1,gfi,240x20,58.38 ± 2.59
vgg_full,1,gfi,240x20_fixed,57.23 ± 3.17
vgg_full,1,gfi,240x40,59.61 ± 2.91
vgg_full,1,gfi,240x40_fixed,57.17 ± 2.50
vgg_full,1,ndiris,240x20,56.49 ± 2.88
vgg_full,1,ndiris,240x40,56.47 ± 3.05
vgg_full,2,gfi,240x20,57.64 ± 2.93
vgg_full,2,gfi,240x20_fixed,56.38 ± 2.53
vgg_full,2,gfi,240x40,59.54 ± 2.86
vgg_full,2,gfi,240x40_fixed,57.36 ± 2.72
vgg_full,2,ndiris,240x20,56.17 ± 2.88
vgg_full,2,ndiris,240x40,56.69 ± 2.78
vgg_full,3,gfi,240x20,57.78 ± 3.32
vgg_full,3,gfi,240x20_fixed,57.53 ± 2.43
vgg_full,3,gfi,240x40,59.72 ± 3.07
vgg_full,3,gfi,240x40_fixed,57.07 ± 2.70
vgg_full,3,ndiris,240x20,56.46 ± 2.78
vgg_full,3,ndiris,240x40,56.58 ± 3.15
vgg_full,4,gfi,240x20,57.74 ± 3.37
vgg_full,4,gfi,240x20_fixed,56.65 ± 2.98
vgg_full,4,gfi,240x40,59.54 ± 2.83
vgg_full,4,gfi,240x40_fixed,56.11 ± 2.13
vgg_full,4,ndiris,240x20,57.48 ± 2.87
vgg_full,4,ndiris,240x40,57.04 ± 2.95
vgg_lsvm,1,gfi,240x20,58.66 ± 2.16
vgg_lsvm,1,gfi,240x20_fixed,56.92 ± 1.67
vgg_lsvm,1,gfi,240x40,60.48 ± 2.03
vgg_lsvm,1,gfi,240x40_fixed,57.00 ± 1.98
vgg_lsvm,1,ndiris,240x20,57.46 ± 2.80
vgg_lsvm,1,ndiris,240x40,57.33 ± 2.24
vgg_lsvm,2,gfi,240x20,58.83 ± 2.19
vgg_lsvm,2,gfi,240x20_fixed,56.40 ± 1.50
vgg_lsvm,2,gfi,240x40,60.64 ± 1.98
vgg_lsvm,2,gfi,240x40_fixed,56.72 ± 1.81
vgg_lsvm,2,ndiris,240x20,57.67 ± 2.67
vgg_lsvm,2,ndiris,240x40,57.51 ± 2.53
vgg_lsvm,3,gfi,240x20,58.72 ± 2.35
vgg_lsvm,3,gfi,240x20_fixed,56.83 ± 1.84
vgg_lsvm,3,gfi,240x40,60.56 ± 2.06
vgg_lsvm,3,gfi,240x40_fixed,56.41 ± 1.85
vgg_lsvm,3,ndiris,240x20,57.12 ± 2.71
vgg_lsvm,3,ndiris,240x40,57.27 ± 2.60
vgg_lsvm,4,gfi,240x20,58.90 ± 2.09
vgg_lsvm,4,gfi,240x20_fixed,56.54 ± 1.86
vgg_lsvm,4,gfi,240x40,60.41 ± 1.97
vgg_lsvm,4,gfi,240x40_fixed,56.83 ± 1.82
vgg_lsvm,4,ndiris,240x20,57.08 ± 2.67
vgg_lsvm,4,ndiris,240x40,57.18 ± 2.76
